## These are the indices in the covariance matrix which we are going to keep
Bone-Osteosarc	30,11,15
Breast-AdenoCA	71,72,78,64,67,68
Cervix-SCC	12,10,14
CNS-GBM	23,24,26
CNS-Medullo	28,26,27,17,16,18
CNS-Oligo	9,7,5
CNS-PiloAstro	12,11,15
ColoRect-AdenoCA	16,14,8,11,9,20
Eso-AdenoCA	48,47,49,55,53,54
Head-SCC	45,43,44,41,54,53,55,49,47,48
Kidney-ChRCC	21,19,20
Kidney-RCC.clearcell	27,30,28,33,31,35
Kidney-RCC.papillary	30,29,36
Liver-HCC	136,129,130,128,127,134,135,132,133,131
Lung-AdenoCA	25,27,54,11,17,19
Lung-SCC	6,9,8,7,12,11,10,15,14,13,1,2,5,4,3
Lymph-BNHL	88,89,85,90,103,104,105,93,94,95,54,58,59,55,51,52,60,63,67,68,64,61,69,71,75,76,72,77
Lymph-CLL	1,2,4
Myeloid-MPN	10,7,6
Ovary-AdenoCA	60,58,59,65,64,66,41,45,43,44
Panc-AdenoCA	91,75,76,74,71,89,90,62,57,63,61,58,80,81,79,54,49,55,53,47,50
Panc-Endocrine	67,66,45,49,48,37,34,41,40,76,28,25,32,24,31
Prost-AdenoCA	64,59,63,61,60,58,104,103,101,100,118,113,112,109,108,106,98,93,97,95,94
Skin-Melanoma.acral	23,19,20
Skin-Melanoma.cutaneous	13,11,27
Stomach-AdenoCA	105,101,102,23,16,21,29,25,26,36,34,42,38,39,86,92,88,89,114,111,117
Thy-AdenoCA	8,9,15
Uterus-AdenoCA	41,40,43
