## These are the indices in the covariance matrix which we are going to keep
Bone-Osteosarc	11,10,21
Breast-AdenoCA	55,52,51,45,44,42
Cervix-SCC	4,1,2
CNS-GBM	3,1,5
CNS-Medullo	10,9,8
CNS-Oligo	
CNS-PiloAstro	6,5,4
ColoRect-AdenoCA	9,7,13
Eso-AdenoCA	21,22,28
Head-SCC	21,18,17
Kidney-ChRCC	4,2,1
Kidney-RCC.clearcell	15,4,5
Kidney-RCC.papillary	11,12,15
Liver-HCC	63,62,61,66,65,64
Lung-AdenoCA	18,17,21
Lung-SCC	3,1,2
Lymph-BNHL	55,53,54,39,38,40
Lymph-CLL	
Myeloid-MPN	
Ovary-AdenoCA	36,25,26
Panc-AdenoCA	60,57,47,51,48,63,41,45,39,42
Panc-Endocrine	30,29,18,24,23,45,11,17,10,16
Prost-AdenoCA	30,34,32,31,49,47,46,54,52,50
Skin-Melanoma.acral	
Skin-Melanoma.cutaneous	
Stomach-AdenoCA	17,20,21,60,61,73
Thy-AdenoCA	2,1,4
Uterus-AdenoCA	29,28,34
